Samples	SBS7A	SBS7B	SBS7C	SBS7D	SBS38
cluster_0	0	0	0	0	1751926
cluster_1	0	0	0	0	402731
cluster_2	0	0	0	0	1124633
cluster_3	0	1054866	0	0	0
cluster_4	0	0	0	0	623398
cluster_5	0	0	0	0	902970
cluster_6	0	0	0	1299100	0
cluster_7	0	0	0	0	506674
cluster_8	0	0	0	0	766229
cluster_9	0	0	0	0	739497
cluster_10	0	0	0	0	955693
cluster_11	0	465144	0	0	0
cluster_12	0	0	0	0	4896520
cluster_13	0	1308480	0	0	0
cluster_14	0	0	0	1455758	0
cluster_15	0	0	0	0	861603
cluster_16	0	0	0	1195860	0
cluster_17	0	0	0	0	440861
cluster_18	507385	0	0	0	0
cluster_19	0	0	895992	0	0
cluster_20	942387	0	0	0	0
cluster_21	0	695325	0	0	0
cluster_22	0	2526249	0	0	0
cluster_23	454518	0	0	0	0
cluster_24	0	0	0	0	795934
cluster_25	0	0	0	0	427853
cluster_26	685775	0	0	0	0
cluster_27	446505	0	0	0	0
cluster_28	770795	0	0	0	0
cluster_29	1627143	0	0	0	0
cluster_30	1603930	0	0	0	0
cluster_31	0	1890076	0	0	0
cluster_32	997989	0	0	0	0
cluster_33	0	0	0	720446	0
cluster_34	0	0	0	0	735362
cluster_35	0	0	0	0	715549
cluster_36	0	0	397859	0	0
cluster_37	0	0	0	0	1235093
cluster_38	0	0	0	426266	0
cluster_39	0	1290370	0	0	0
cluster_40	0	0	0	397724	0
cluster_41	0	0	0	1080983	0
cluster_42	0	0	0	0	564679
cluster_43	0	0	0	0	800299
cluster_44	0	0	820752	0	0
cluster_45	0	0	0	0	811274
cluster_46	0	0	0	0	557946
cluster_47	0	0	0	483519	0
cluster_48	0	0	0	1841771	0
cluster_49	0	0	0	0	886047
cluster_50	0	0	0	483353	0
cluster_51	0	0	0	557572	0
cluster_52	0	405578	0	0	0
cluster_53	0	0	0	0	1102076
cluster_54	0	0	858509	0	0
cluster_55	0	0	450197	0	0
cluster_56	0	740183	0	0	0
cluster_57	0	0	0	927221	0
