Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
cluster_0	1751926	0.706	2068537.236	118.072%	764371.53	70.801%	1.61866	0.696
cluster_1	402731	0.433	592156.019	147.035%	270112.128	91.514%	1.40956	0.416
cluster_2	1124633	0.432	1692981.768	150.536%	815960.929	90.858%	1.42398	0.417
cluster_3	1054866	0.333	1751979.991	166.086%	632348.487	97.124%	1.99153	0.301
cluster_4	623398	0.426	948402.262	152.134%	416006.91	92.126%	1.49147	0.408
cluster_5	902970	0.426	1362983.86	150.945%	585386.057	92.479%	1.48901	0.408
cluster_6	1299100	0.049	2457930.085	189.203%	1028257.008	109.246%	3.93301	0.009
cluster_7	506674	0.429	780919.064	154.127%	375456.815	90.88%	1.47508	0.415
cluster_8	766229	0.427	1181798.628	154.236%	543587.017	91.384%	1.50029	0.411
cluster_9	739497	0.43	1137044.283	153.759%	535528.454	91.037%	1.46994	0.414
cluster_10	955693	0.428	1470269.124	153.843%	667382.414	91.477%	1.48816	0.411
cluster_11	465144	0.307	753825.352	162.063%	205543.184	110.815%	3.16658	0.251
cluster_12	4896520	0.262	6726186.226	137.367%	2117144.267	193.607%	1.87363	0.178
cluster_13	1308480	0.325	2173196.197	166.086%	886150.915	96.055%	1.93435	0.299
cluster_14	1455758	0.04	2755490.368	189.282%	1219637.086	108.399%	4.10153	0.002
cluster_15	861603	0.43	1306290.468	151.612%	598937.559	91.335%	1.44898	0.414
cluster_16	1195860	0.053	2258388.959	188.851%	860986.034	111.628%	3.85737	0.008
cluster_17	440861	0.375	714315.259	162.027%	294931.443	95.91%	2.38052	0.354
cluster_18	507385	0.753	678416.37	133.708%	369564.066	72.855%	1.10515	0.754
cluster_19	895992	0.025	1744615.979	194.713%	769082.531	106.499%	5.04865	-0.017
cluster_20	942387	0.539	1433624.468	152.127%	682052.16	84.288%	1.86715	0.529
cluster_21	695325	0.323	1154834.346	166.086%	486572.53	95.918%	1.93189	0.297
cluster_22	2526249	0.32	4195734.53	166.086%	1647171.322	96.757%	2.04203	0.292
cluster_23	454518	0.543	692116.386	152.275%	384631.226	84.624%	1.43284	0.536
cluster_24	795934	0.433	1186342.661	149.05%	563570.754	90.997%	1.42286	0.417
cluster_25	427853	0.431	646926.616	151.203%	315821.789	90.809%	1.4448	0.416
cluster_26	685775	0.751	916796.928	133.688%	444665.98	71.238%	1.49684	0.75
cluster_27	446505	0.752	596894.227	133.681%	295387.593	71.491%	1.42487	0.751
cluster_28	770795	0.753	1030638.461	133.711%	561456.96	72.856%	1.10443	0.754
cluster_29	1627143	0.687	2171437.372	133.451%	721211.276	72.736%	3.19762	0.676
cluster_30	1603930	0.542	2439961.564	152.124%	1281790.413	84.382%	1.53358	0.535
cluster_31	1890076	0.151	3529513.984	186.739%	1083008.635	112.26%	3.40874	0.099
cluster_32	997989	0.512	1504578.055	150.761%	508347.082	89.914%	3.61713	0.491
cluster_33	720446	0.073	1307227.38	181.447%	448060.414	115.882%	5.34779	0.02
cluster_34	735362	0.388	1191483.334	162.027%	504155.034	94.484%	2.25235	0.369
cluster_35	715549	0.372	1159384.861	162.027%	484829.293	95.873%	2.39548	0.352
cluster_36	397859	0.042	780288.501	196.122%	268454.983	110.707%	6.62999	-0.013
cluster_37	1235093	0.348	2001188.076	162.027%	824596.388	98.113%	2.58792	0.325
cluster_38	426266	0.036	809676.433	189.946%	424623.881	105.586%	4.2549	0.006
cluster_39	1290370	0.108	2482842.251	192.413%	1319435.817	102.274%	3.27596	0.082
cluster_40	397724	0.012	786261.695	197.69%	400142.88	106.423%	5.2885	-0.02
cluster_41	1080983	0.163	1931259.724	178.658%	558660.356	118.215%	5.25903	0.103
cluster_42	564679	0.422	919159.427	162.776%	476708.347	90.742%	1.74857	0.411
cluster_43	800299	0.319	1296703.014	162.027%	545348.669	99.895%	2.77734	0.296
cluster_44	820752	0.119	1448901.521	176.533%	427431.823	114.904%	3.49761	0.05
cluster_45	811274	0.397	1314485.512	162.027%	554926.665	93.885%	2.17374	0.378
cluster_46	557946	0.414	904024.946	162.027%	409191.302	91.967%	1.93664	0.398
cluster_47	483519	0.07	881084.969	182.223%	309962.648	114.771%	4.4123	0.018
cluster_48	1841771	0.134	3292484.612	178.767%	939119.418	122.606%	5.05314	0.068
cluster_49	886047	0.007	1760944.938	198.742%	597743.047	129.711%	5.11212	-0.041
