timestamp_utc,vram_used_mb,vram_free_mb,vram_total_mb
2026-08-23T09:32:16Z,7384,41020,48935
2026-08-23T09:32:18Z,7384,41020,48935
2026-08-23T09:32:20Z,7384,41020,48935
2026-08-23T09:32:22Z,7384,41020,48935
2026-08-23T09:32:24Z,7384,41020,48935
2026-08-23T09:32:26Z,7384,41020,48935
2026-08-23T09:32:28Z,7384,41020,48935
2026-08-23T09:32:30Z,7384,41020,48935
2026-08-23T09:32:32Z,7384,41020,48935
2026-08-23T09:32:34Z,7384,41020,48935
2026-08-23T09:32:36Z,7384,41020,48935
2026-08-23T09:32:38Z,7384,41020,48935
2026-08-23T09:32:40Z,7384,41020,48935
2026-08-23T09:32:42Z,7384,41020,48935
2026-08-23T09:32:44Z,7384,41020,48935
2026-08-23T09:32:46Z,7384,41020,48935
2026-08-23T09:32:48Z,7384,41020,48935
2026-08-23T09:32:50Z,7384,41020,48935
2026-08-23T09:32:52Z,7384,41020,48935
2026-08-23T09:32:54Z,7384,41020,48935
2026-08-23T09:32:56Z,7384,41020,48935
2026-08-23T09:32:58Z,7384,41020,48935
2026-08-23T09:33:00Z,7384,41020,48935
2026-08-23T09:33:02Z,7384,41020,48935
2026-08-23T09:33:04Z,7384,41020,48935
2026-08-23T09:33:06Z,7384,41020,48935
2026-08-23T09:33:08Z,7384,41020,48935
2026-08-23T09:33:10Z,7384,41020,48935
2026-08-23T09:33:12Z,7384,41020,48935
2026-08-23T09:33:14Z,7384,41020,48935
2026-08-23T09:33:16Z,7384,41020,48935
2026-08-23T09:33:18Z,7384,41020,48935
2026-08-23T09:33:20Z,7384,41020,48935
2026-08-23T09:33:22Z,7384,41020,48935
2026-08-23T09:33:24Z,7384,41020,48935
2026-08-23T09:33:26Z,7384,41020,48935
2026-08-23T09:33:28Z,7384,41020,48935
2026-08-23T09:33:30Z,7384,41020,48935
2026-08-23T09:33:32Z,7384,41020,48935
2026-08-23T09:33:34Z,7384,41020,48935
2026-08-23T09:33:36Z,7384,41020,48935
2026-08-23T09:33:39Z,7384,41020,48935
2026-08-23T09:33:41Z,7384,41020,48935
2026-08-23T09:33:43Z,7384,41020,48935
2026-08-23T09:33:45Z,7384,41020,48935
2026-08-23T09:33:47Z,7384,41020,48935
