label,fit_rows,mcs,ms,method,eps,n_clusters,noise_pct,top_chan,tc>0.5,tc>0.8,dbcv,connect,prob_mean,prob>0.8,persist,cos_mean,cos_wmean,l1%_mean,l2%_mean,mut%>0.8,fit_s,label_s
fit500000_mcs2500_ms15_eom,500000,2500,15,eom,0.0,89,7.27,0.549,0.629,0.135,0.4407456518740483,1.0,0.845,0.735,0.2252,0.2749,0.2844,168.39,103.07,0.0,5.3,99.5
fit500000_mcs2500_ms5_eom,500000,2500,5,eom,0.0,88,12.5,0.57,0.614,0.148,0.4451308518751905,1.0,0.82,0.704,0.2149,0.2613,0.2665,170.38,104.28,0.9,5.8,53.1
fit1000000_mcs2500_ms15_eom,1000000,2500,15,eom,0.0,175,7.36,0.653,0.663,0.274,0.43130969929049423,1.0,0.828,0.722,1.0,0.2804,0.2774,169.73,100.91,1.4,18.8,122.4
fit1000000_mcs2500_ms5_eom,1000000,2500,5,eom,0.0,176,8.24,0.659,0.67,0.267,0.39452649462206024,1.0,0.816,0.722,1.0,0.2806,0.2756,169.72,101.09,1.4,20.3,66.2
fit500000_mcs1000_ms15_eom,500000,1000,15,eom,0.0,215,6.62,0.672,0.712,0.316,0.4156547947443766,1.0,0.827,0.703,1.0,0.2757,0.2718,170.72,100.32,1.6,5.3,99.5
fit500000_mcs1000_ms5_eom,500000,1000,5,eom,0.0,220,7.9,0.675,0.727,0.323,0.3994506718435596,1.0,0.826,0.713,1.0,0.2787,0.2708,170.62,100.1,1.7,5.9,53.0
fit1000000_mcs1000_ms15_eom,1000000,1000,15,eom,0.0,357,8.31,0.744,0.798,0.429,0.34733215048150357,1.0,0.785,0.661,1.0,0.27,0.2657,172.64,99.84,1.9,18.8,122.6
fit500000_mcs500_ms5_eom,500000,500,5,eom,0.0,363,9.12,0.752,0.793,0.424,0.24398459450128596,1.0,0.782,0.676,1.0,0.27,0.2625,172.55,100.06,2.0,5.8,53.1
fit1000000_mcs1000_ms5_eom,1000000,1000,5,eom,0.0,375,10.69,0.757,0.811,0.435,0.29668413955281037,1.0,0.787,0.699,1.0,0.2725,0.2629,172.38,99.59,2.0,20.2,66.6
fit500000_mcs500_ms15_eom,500000,500,15,eom,0.0,348,8.15,0.757,0.799,0.445,0.33645730143475777,1.0,0.792,0.65,1.0,0.279,0.2646,171.87,99.51,2.0,5.3,99.4
fit5000000_mcs2500_ms5_eom,5000000,2500,5,eom,0.0,513,8.77,0.812,0.836,0.511,0.20005168395180167,1.0,0.839,0.826,1.0,0.2798,0.2607,172.78,98.27,2.3,457.1,127.0
fit1000000_mcs500_ms15_eom,1000000,500,15,eom,0.0,534,10.89,0.826,0.843,0.53,0.29748549019591064,1.0,0.736,0.613,1.0,0.2752,0.2618,173.26,98.41,2.0,18.8,122.9
fit5000000_mcs2500_ms15_eom,5000000,2500,15,eom,0.0,548,11.25,0.826,0.847,0.529,0.19738777111476113,1.0,0.771,0.732,1.0,0.275,0.2605,173.25,98.33,2.1,459.8,255.6
fit500000_mcs250_ms15_eom,500000,250,15,eom,0.0,518,10.66,0.827,0.844,0.531,0.3286192958739054,1.0,0.759,0.607,1.0,0.2771,0.2628,173.0,98.4,2.0,5.4,100.0
fit500000_mcs250_ms5_eom,500000,250,5,eom,0.0,560,12.42,0.829,0.841,0.541,0.1890586063029621,0.999,0.758,0.655,1.0,0.2689,0.2629,173.82,98.65,2.2,6.0,54.0
fit1000000_mcs500_ms5_eom,1000000,500,5,eom,0.0,584,12.9,0.844,0.846,0.548,0.16205387309425676,0.999,0.744,0.682,1.0,0.2684,0.2619,173.93,98.64,2.4,20.3,67.0
fit5000000_mcs500_ms5_eom,5000000,500,5,eom,0.0,856,10.63,0.864,0.848,0.572,0.06872154786232307,0.999,0.855,0.845,1.0,0.2628,0.2576,174.87,98.62,2.3,458.0,145.9
fit5000000_mcs1000_ms5_eom,5000000,1000,5,eom,0.0,692,9.32,0.868,0.847,0.564,0.11315308694781108,0.999,0.842,0.833,1.0,0.2631,0.2588,174.71,98.73,2.3,457.3,128.6
fit5000000_mcs250_ms5_eom,5000000,250,5,eom,0.0,1096,11.67,0.873,0.854,0.574,0.01607309514655881,0.998,0.862,0.853,1.0,0.2569,0.2567,175.49,99.06,2.2,458.3,148.1
fit1000000_mcs250_ms5_eom,1000000,250,5,eom,0.0,814,16.83,0.894,0.861,0.607,0.08810722948745413,0.998,0.75,0.697,1.0,0.256,0.2579,175.5,98.71,2.1,20.3,67.9
fit1000000_mcs250_ms15_eom,1000000,250,15,eom,0.0,735,15.88,0.897,0.879,0.614,0.22358966330355462,0.999,0.724,0.608,1.0,0.2579,0.2626,175.45,98.6,2.5,18.8,123.0
fit5000000_mcs1000_ms15_eom,5000000,1000,15,eom,0.0,784,14.39,0.908,0.867,0.617,0.12602090345046255,0.999,0.759,0.726,1.0,0.2599,0.2604,175.1,98.44,2.6,459.8,256.7
fit5000000_mcs250_ms15_eom,5000000,250,15,eom,0.0,1330,19.43,0.917,0.876,0.632,0.0014723692684132234,0.998,0.768,0.742,1.0,0.2443,0.2611,176.92,99.2,2.6,460.4,257.2
fit5000000_mcs500_ms15_eom,5000000,500,15,eom,0.0,1008,17.11,0.918,0.873,0.631,0.0547015692030264,0.999,0.762,0.731,1.0,0.2548,0.2609,175.88,98.49,2.6,460.5,257.0
