label,fit_M,mcs,ms,n_clusters,noise_%,fit_min,dbcv,prob_mean,persist_mean,cos_mean,cos_med,frac>0.7,mutshare>0.7,muts_M
fit500000_mcs250_ms5_eom,0.5,250,5,560,12.417575112579824,0.1,,0.7577991602566643,1.0,0.2689267857142857,0.1505,0.0928571428571428,0.0820529975783816,137.943699
fit500000_mcs500_ms5_eom,0.5,500,5,363,9.1178710715156,0.0966666666666666,0.4128023184012704,0.7821447807448335,1.0,0.2699669421487603,0.166,0.0826446280991735,0.0712334847735152,143.140786
fit500000_mcs1000_ms5_eom,0.5,1000,5,220,7.899419802645789,0.0966666666666666,0.4521979986957198,0.8258201317352473,1.0,0.27875,0.2294999999999999,0.0727272727272727,0.0616904898083352,145.059863
fit500000_mcs2500_ms5_eom,0.5,2500,5,88,12.504665032566658,0.0966666666666666,0.4663005600758163,0.8199205669233136,0.2148542429759717,0.2613409090909091,0.148,0.0568181818181818,0.0547856924077333,137.806527
fit500000_mcs250_ms15_eom,0.5,250,15,518,10.664331748291032,0.0883333333333333,,0.7590633978850845,1.0,0.2771428571428571,0.1685,0.0984555984555984,0.0806046709726565,140.705084
fit500000_mcs500_ms15_eom,0.5,500,15,348,8.147844612098494,0.0883333333333333,0.4637210123011424,0.7923728404721003,1.0,0.2790229885057471,0.259,0.0890804597701149,0.0695959636463176,144.668591
fit500000_mcs1000_ms15_eom,0.5,1000,15,215,6.621021833558749,0.0883333333333333,0.4848066685625286,0.8271471021300055,1.0,0.2756511627906977,0.192,0.0651162790697674,0.0555437439896915,147.073359
fit500000_mcs2500_ms15_eom,0.5,2500,15,89,7.271894034332862,0.0883333333333333,0.4428382989208058,0.8448959265746215,0.2252059307974878,0.274943820224719,0.192,0.0337078651685393,0.049207007805956,146.048222
fit1000000_mcs250_ms5_eom,1.0,250,5,814,16.829601328443815,0.3383333333333333,,0.750091141519572,1.0,0.2560368550368551,0.1385,0.0823095823095823,0.0762546716684063,130.994689
fit1000000_mcs500_ms5_eom,1.0,500,5,584,12.896205866633212,0.3383333333333333,,0.7436407524058435,1.0,0.2684195205479452,0.166,0.0873287671232876,0.0841357657591707,137.189849
fit1000000_mcs1000_ms5_eom,1.0,1000,5,375,10.688013415484466,0.3383333333333333,0.4147930910054567,0.7867804759287639,1.0,0.2724853333333333,0.167,0.08,0.0714989779429742,140.667787
fit1000000_mcs2500_ms5_eom,1.0,2500,5,176,8.241063994405645,0.3366666666666666,0.4476687631966826,0.8164795904004851,1.0,0.2805909090909091,0.25,0.0625,0.0562571449877166,144.521767
fit1000000_mcs250_ms15_eom,1.0,250,15,735,15.877704845881546,0.315,,0.7240081410003374,1.0,0.2579455782312925,0.135,0.0857142857142857,0.078977166804761,132.49394
fit1000000_mcs500_ms15_eom,1.0,500,15,534,10.892664060893866,0.3133333333333333,,0.7363463008499256,1.0,0.275249063670412,0.1655,0.0936329588014981,0.0770476015187637,140.345459
fit1000000_mcs1000_ms15_eom,1.0,1000,15,357,8.309930605140597,0.3133333333333333,0.4509567653001737,0.7853521733962677,1.0,0.2699831932773109,0.166,0.0756302521008403,0.067416177944381,144.413304
fit1000000_mcs2500_ms15_eom,1.0,2500,15,175,7.355254467923434,0.3116666666666666,0.4526676847080826,0.8283856027977813,1.0,0.2803542857142857,0.239,0.0628571428571428,0.0564610490608523,145.916931
fit5000000_mcs250_ms5_eom,5.0,250,5,1096,11.670333719826813,7.64,,0.8624853821398337,1.0,0.2568923357664233,0.1455,0.0848540145985401,0.0722245646739764,139.120617
fit5000000_mcs500_ms5_eom,5.0,500,5,856,10.62680196605012,7.626666666666667,,0.8554342595469796,1.0,0.2627885514018692,0.1495,0.0876168224299065,0.0727374168357413,140.764196
fit5000000_mcs1000_ms5_eom,5.0,1000,5,692,9.31909317989064,7.63,,0.8424501972164604,1.0,0.2631170520231214,0.147,0.0852601156069364,0.0716435205104178,142.823858
fit5000000_mcs2500_ms5_eom,5.0,2500,5,513,8.76731014380935,7.621666666666667,,0.8387598926329939,1.0,0.2797680311890838,0.168,0.0974658869395711,0.0762831085803285,143.692925
fit5000000_mcs250_ms15_eom,5.0,250,15,1330,19.434969477766508,7.686666666666666,,0.7679570828001695,1.0,0.244281954887218,0.13,0.0796992481203007,0.0802365607813573,126.891194
fit5000000_mcs500_ms15_eom,5.0,500,15,1008,17.105768081818606,7.686666666666666,,0.7618706993947411,1.0,0.2547876984126984,0.14,0.0833333333333333,0.0815057565647562,130.559723
fit5000000_mcs1000_ms15_eom,5.0,1000,15,784,14.391180710695092,7.680000000000001,,0.7591312310033806,1.0,0.2599400510204082,0.1465,0.0816326530612244,0.0775836192557404,134.835241
fit5000000_mcs2500_ms15_eom,5.0,2500,15,548,11.254761380806466,7.683333333333334,,0.7711540391826198,1.0,0.274978102189781,0.166,0.0912408759124087,0.0761983156519596,139.77515
fit25000000_mcs250_ms5_eom,25.0,250,5,872,3.9736534706508975,194.79166666666663,,0.9553379210528968,1.0,0.3171559633027523,0.295,0.143348623853211,0.0641648901878492,151.243008
fit25000000_mcs500_ms5_eom,25.0,500,5,634,3.644143760335611,193.65,,0.9505055743404502,1.0,0.3049921135646687,0.271,0.1340694006309148,0.0639644612991404,151.761991
fit25000000_mcs1000_ms5_eom,25.0,1000,5,517,3.3836174849801504,193.4933333333333,,0.94807726501235,1.0,0.2995512572533849,0.266,0.1199226305609284,0.0641919223103933,152.172324
fit25000000_mcs2500_ms5_eom,25.0,2500,5,441,3.18749881747218,194.47333333333333,0.3859413996982173,0.9458738361673356,1.0,0.3031111111111111,0.295,0.1111111111111111,0.0643464774618072,152.481214
