cell,clusters,cos_mean,cos_median,cos_wmean,l1%_mean,l1%_wmean,l2%_mean,l2/tot%,kl_mean,mut%>0.7,mut%>0.8
latent2d_cluster/mcs1000_ms5,346,0.3006,0.2575,0.3796,154.01,148.34,123.68,59.58,2.865,20.1,6.5
latent2d_cluster/mcs1000_ms5_leaf,1050,0.3228,0.299,0.3382,155.62,153.31,115.67,63.54,2.709,20.1,11.5
latent2d_cluster/mcs1000_ms25_leaf,604,0.2963,0.296,0.3319,160.86,156.98,113.65,68.11,2.863,20.1,9.9
latent2d_cluster/mcs1000_ms25,293,0.3025,0.24,0.3278,156.45,155.18,119.66,61.89,2.886,17.1,9.8
rows_250000/variant_C1,3,0.5017,0.572,0.322,135.67,144.17,131.65,44.36,1.813,0.0,0.0
vae_100pct/variant_B,2,0.3355,0.3355,0.3115,148.92,123.39,162.87,63.66,2.095,0.0,0.0
rows_1000000/variant_C1,3,0.496,0.574,0.3055,135.48,143.79,124.97,44.63,1.82,0.0,0.0
vae_25pct/variant_B,1267,0.1363,0.064,0.2762,188.09,154.37,102.47,95.19,4.13,0.9,0.6
nn15_md0.0_nc2/mcs1000_ms5,1150,0.292,0.296,0.2762,170.22,171.01,97.66,78.59,3.014,10.6,3.3
nn15_md0.0_nc2/mcs2500_ms5,613,0.2964,0.296,0.2761,169.22,170.25,98.31,76.45,3.0,10.2,3.5
nn15_md0.0_nc2/mcs500_ms5,1731,0.2959,0.296,0.2716,170.4,171.61,97.42,79.11,3.004,10.4,3.0
nn15_md0.0_nc2/mcs250_ms5,2763,0.2955,0.296,0.2682,170.53,172.28,97.69,79.36,3.015,10.4,2.8
nn15_md0.0_nc2/mcs100_ms5,5709,0.2698,0.174,0.2672,172.06,172.52,99.59,78.76,3.239,10.7,3.2
rows_1000000/variant_C2,8,0.3021,0.2365,0.228,153.04,156.84,137.83,42.51,3.272,0.0,0.0
rows_250000/variant_C2,8,0.301,0.234,0.2272,153.12,156.97,137.29,42.65,3.268,0.0,0.0
rows_500000/variant_C2,8,0.3045,0.235,0.2267,152.65,156.95,137.46,42.41,3.28,0.0,0.0
rq_0.025/variant_D,213,0.1861,0.107,0.2163,175.04,171.4,111.72,63.71,4.34,2.0,0.0
vae_50pct/variant_A,641,0.1694,0.07,0.2064,180.66,174.72,105.55,77.65,4.184,2.0,1.3
vae_25pct/variant_A,868,0.1814,0.117,0.2061,177.65,173.52,110.03,68.13,4.367,1.4,0.9
rq_0.05/variant_D,526,0.1671,0.0885,0.2019,180.88,174.54,107.99,76.21,4.083,1.7,1.2
rows_500000/variant_C1,6,0.292,0.1865,0.1886,157.4,160.0,114.22,56.06,3.138,0.0,0.0
rq_0.1/variant_D,1144,0.1435,0.064,0.1811,185.38,180.54,104.16,82.51,4.302,2.9,2.3
vae_1pct/variant_A,2792,0.136,0.063,0.1802,186.4,180.58,104.23,85.62,4.345,3.6,3.0
vae_100pct/variant_A,377,0.1583,0.064,0.1754,182.0,177.44,107.98,76.63,4.54,3.1,1.7
vae_10pct/variant_A,1673,0.1229,0.03,0.1619,189.05,183.74,103.35,92.98,4.351,3.4,1.9
vae_2pct/variant_A,2373,0.1403,0.063,0.159,186.48,183.13,103.54,88.33,4.186,4.2,2.7
vae_5pct/variant_A,1681,0.1209,0.026,0.1581,188.95,184.17,103.29,93.68,4.461,4.1,2.6
vae_1pct/variant_B,250,0.1418,0.093,0.1573,182.69,179.6,108.43,79.18,4.362,1.5,1.0
rq_0.075/variant_D,350,0.1501,0.0525,0.1529,185.8,185.06,103.05,88.45,4.227,5.1,1.8
vae_2pct/variant_B,249,0.1401,0.059,0.149,184.01,182.82,104.84,86.13,4.234,4.9,1.7
vae_50pct/variant_B,658,0.1332,0.067,0.1447,186.24,183.8,106.46,89.96,4.258,2.5,1.6
vae_10pct/variant_B,1441,0.1158,0.023,0.1398,190.17,186.34,102.65,97.65,4.415,3.3,2.0
vae_5pct/variant_B,395,0.1692,0.07,0.1283,184.96,187.92,101.28,91.56,3.943,3.6,2.5
