cell,fit_rows,min_cluster_size,min_samples,cohort_n_clusters,cohort_noise_fraction,dbcv,persistence_median,profiled_clusters,seconds
fit500000_mcs250_ms5_eom,500000,250,5,560,0.124176,,1.0,560,71.0
fit500000_mcs500_ms5_eom,500000,500,5,363,0.091179,0.41280231840127046,1.0,363,52.6
fit500000_mcs1000_ms5_eom,500000,1000,5,220,0.078994,0.45219799869571986,1.0,220,38.8
fit500000_mcs2500_ms5_eom,500000,2500,5,88,0.125047,0.46630056007581633,0.19486180692911148,88,26.4
fit500000_mcs250_ms15_eom,500000,250,15,518,0.106643,,1.0,518,67.1
fit500000_mcs500_ms15_eom,500000,500,15,348,0.081478,0.4637210123011424,1.0,348,50.6
fit500000_mcs1000_ms15_eom,500000,1000,15,215,0.06621,0.48480666856252863,1.0,215,37.7
fit500000_mcs2500_ms15_eom,500000,2500,15,89,0.072719,0.4428382989208058,0.20035652816295624,89,26.6
fit1000000_mcs250_ms5_eom,1000000,250,5,814,0.168296,,1.0,814,94.6
fit1000000_mcs500_ms5_eom,1000000,500,5,584,0.128962,,1.0,584,72.6
fit1000000_mcs1000_ms5_eom,1000000,1000,5,375,0.10688,0.4147930910054567,1.0,375,53.1
fit1000000_mcs2500_ms5_eom,1000000,2500,5,176,0.082411,0.4476687631966826,1.0,176,34.6
fit1000000_mcs250_ms15_eom,1000000,250,15,735,0.158777,,1.0,735,86.7
fit1000000_mcs500_ms15_eom,1000000,500,15,534,0.108927,,1.0,534,67.6
fit1000000_mcs1000_ms15_eom,1000000,1000,15,357,0.083099,0.45095676530017376,1.0,357,51.4
fit1000000_mcs2500_ms15_eom,1000000,2500,15,175,0.073553,0.45266768470808266,1.0,175,34.3
fit5000000_mcs250_ms5_eom,5000000,250,5,1096,0.116703,,1.0,1096,120.1
fit5000000_mcs500_ms5_eom,5000000,500,5,856,0.106268,,1.0,856,98.9
fit5000000_mcs1000_ms5_eom,5000000,1000,5,692,0.093191,,1.0,692,83.1
fit5000000_mcs2500_ms5_eom,5000000,2500,5,513,0.087673,,1.0,513,65.9
fit5000000_mcs250_ms15_eom,5000000,250,15,1330,0.19435,,1.0,1330,142.6
fit5000000_mcs500_ms15_eom,5000000,500,15,1008,0.171058,,1.0,1008,111.8
fit5000000_mcs1000_ms15_eom,5000000,1000,15,784,0.143912,,1.0,784,90.9
fit5000000_mcs2500_ms15_eom,5000000,2500,15,548,0.112548,,1.0,548,69.0
fit25000000_mcs250_ms5_eom,25000000,250,5,872,0.039737,,1.0,872,98.5
fit25000000_mcs500_ms5_eom,25000000,500,5,634,0.036441,,1.0,634,77.2
fit25000000_mcs1000_ms5_eom,25000000,1000,5,517,0.033836,,1.0,517,66.8
fit25000000_mcs2500_ms5_eom,25000000,2500,5,441,0.031875,0.38594139969821734,1.0,441,59.2
