cell,clusters,top_chan_median,frac>0.5,frac>0.8,dom_channels,clus_per_chan,cosine_mean,l1_mean,l2_mean,subsampled
rows_250000/variant_C2,8,0.208,0.25,0.0,4,2.0,0.1818,1.6866,0.4487,false
rows_1000000/variant_C2,8,0.209,0.125,0.0,4,2.0,0.1851,1.6811,0.4447,false
rows_500000/variant_C2,8,0.21,0.125,0.0,4,2.0,0.1851,1.681,0.445,false
latent2d_cluster/mcs1000_ms5,346,0.401,0.431,0.254,54,6.4,0.1767,1.735,0.7666,false
rows_500000/variant_C1,6,0.41,0.333,0.167,5,1.2,0.0997,1.8359,0.7365,false
latent2d_cluster/mcs1000_ms25,293,0.469,0.478,0.294,51,5.7,0.1527,1.776,0.8228,false
rq_0.025/variant_D,213,0.47,0.432,0.155,34,6.3,0.0697,1.8929,0.8098,false
rows_250000/variant_C1,3,0.503,0.667,0.0,2,1.5,0.4328,1.3092,0.4209,false
rows_1000000/variant_C1,3,0.507,0.667,0.0,2,1.5,0.4243,1.3091,0.424,false
vae_25pct/variant_A,868,0.52,0.522,0.213,43,20.2,0.0551,1.9145,0.8865,false
vae_100pct/variant_B,2,0.525,0.5,0.5,2,1.0,0.0668,1.9804,1.0009,false
latent2d_cluster/mcs1000_ms5_leaf,1050,0.546,0.545,0.33,66,15.9,0.1704,1.7587,0.8538,false
latent2d_cluster/mcs1000_ms25_leaf,604,0.664,0.614,0.414,60,10.1,0.1388,1.8034,0.924,false
vae_100pct/variant_A,377,0.669,0.687,0.377,58,6.5,0.0421,1.9334,1.0195,false
vae_1pct/variant_B,250,0.676,0.672,0.44,31,8.1,0.0861,1.8657,1.01,false
vae_50pct/variant_A,641,0.693,0.702,0.423,60,10.7,0.0379,1.941,1.0475,false
rq_0.05/variant_D,526,0.734,0.749,0.392,48,11.0,0.0537,1.9101,0.9971,false
rq_0.1/variant_D,1144,0.818,0.836,0.526,66,17.3,0.0324,1.9443,1.1065,false
nn15_md0.0_nc2/mcs2500_ms5,613,0.828,0.848,0.54,48,12.8,0.0717,1.8814,1.0715,false
vae_1pct/variant_A,2792,0.857,0.876,0.582,83,33.6,0.0362,1.9383,1.1438,false
nn15_md0.0_nc2/mcs100_ms5,5709,0.866,0.839,0.579,88,64.9,0.0488,1.9163,1.1146,true
nn15_md0.0_nc2/mcs1000_ms5,1150,0.873,0.863,0.61,64,18.0,0.062,1.8948,1.1091,false
nn15_md0.0_nc2/mcs500_ms5,1731,0.885,0.868,0.618,78,22.2,0.0559,1.9043,1.1241,false
nn15_md0.0_nc2/mcs250_ms5,2763,0.889,0.868,0.622,83,33.3,0.0539,1.9076,1.1293,false
vae_2pct/variant_A,2373,0.917,0.903,0.686,88,27.0,0.0255,1.9565,1.1999,false
rq_0.075/variant_D,350,0.933,0.943,0.666,74,4.7,0.0224,1.9621,1.2106,false
vae_2pct/variant_B,249,0.983,0.763,0.618,34,7.3,0.0688,1.8837,1.1206,false
vae_5pct/variant_A,1681,0.984,0.955,0.779,92,18.3,0.0307,1.9431,1.2538,false
vae_10pct/variant_A,1673,0.986,0.946,0.756,91,18.4,0.0283,1.9486,1.2505,false
vae_5pct/variant_B,395,0.998,0.924,0.759,50,7.9,0.0285,1.9508,1.2587,false
vae_10pct/variant_B,1441,1.0,0.966,0.881,77,18.7,0.0437,1.9162,1.2929,false
vae_25pct/variant_B,1267,1.0,0.951,0.825,69,18.4,0.0353,1.9361,1.2824,false
vae_50pct/variant_B,658,1.0,0.825,0.717,47,14.0,0.0565,1.91,1.1903,false
